Library Plate,Source well,Library Name,SMILES,Modified SMILES,Code,Volume (ul),Concentration (mM),old_ID,covalent
1181202-Y4-02,R05,shipment 6 - moonshot,C=C(C(=O)NC=1C=CC=CC1)C=2C=CC=NC2,CC(C(Nc1ccccc1)=O)c1cnccc1,BEN-DND-031a96cc-8,4,100,BEN-DND-031-8,
1181202-Y4-02,O06,shipment 6 - moonshot,CN(C(=O)CC1=NOC=2C=CC=CC12)C=3C=CC(NC(=O)OC(C)(C)C)=CC3,CC(C)(C)OC(Nc(cc1)ccc1N(C)C(Cc1noc2c1cccc2)=O)=O,AAR-POS-8a4e0f60-9,4,100,s_22____12335866____132823,no
1181202-Y4-02,P05,shipment 6 - moonshot,CN(C)CC(=C)C(=O)N1CC(C=2C=CC=CC2)C=3C=CC=CC3C1,CC(CN(C)C)C(N(CC1c2ccccc2)Cc2c1cccc2)=O,REN-UFA-aaaed2d6-3,4,100,REN-UFA-aaa-3,
1181202-Y4-02,C05,shipment 6 - moonshot,CC=1C=CC(=CC1)S(=O)(=O)NC2CCN(CC2)C(=O)CCl,CC(N(CC1)CCC1NS(c1ccc(C)cc1)(=O)=O)=O,WAR-XCH-79d12f6e-4,4,100,WAR-XCH-79d-4,
1181202-Y4-02,E05,shipment 6 - moonshot,ClCC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CSC2,CC(N(CC1)CCN1S(c1cscc1)(=O)=O)=O,MAT-POS-ee51dedd-2,4,100,MAK-UNK-643-10,
1181202-Y4-02,G05,shipment 6 - moonshot,FC=1C=CC(CNC=2C=CC=3N(CCCC3C2)C(=O)CCl)=C(Cl)C1,CC(N(CCC1)c(cc2)c1cc2NCc(ccc(F)c1)c1Cl)=O,MAT-POS-ee51dedd-3,4,100,MIC-IOC-304-2,
1181202-Y4-02,H05,shipment 6 - moonshot,ClCC(=O)N1CCN(CCNC(=O)C=2C=CC=CC2)CC1,CC(N1CCN(CCNC(c2ccccc2)=O)CC1)=O,STE-KUL-2e0d2e88-1,4,100,STE-KU-2e0-1,
1181202-Y4-02,D05,shipment 6 - moonshot,ClCC(=O)N1CCN(CC=2C=C(C#N)C=C3C=CC=CC23)CC1,CC(N1CCN(Cc2cc(C#N)cc3ccccc23)CC1)=O,DAR-DIA-fb20be43-6,4,100,DAR-DIA-fb2-6,
1181202-Y4-02,AE05,shipment 6 - moonshot,ClCC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,CC(N1CCN(Cc2cc(C#N)ccc2)CC1)=O,MAT-POS-ee51dedd-1,4,100,PAT-UNK-b2d-1,
1181202-Y4-02,T05,shipment 6 - moonshot,CC(=O)N[C@@H](CC=1C=CC(O)=CC1)C(=O)NCC=2C=CC(Br)=CC2,CC(N[C@@H](Cc(cc1)ccc1O)C(NCc(cc1)ccc1Br)=O)=O,NIC-BIO-a68395b7-5,4,100,NIC-BIO-a68-5,no
1181202-Y4-02,I05,shipment 6 - moonshot,CC(=O)NC=1C=CC(C#N)=CC1CN2CCN(CC2)C(=O)CCl,CC(Nc(cc1)c(CN(CC2)CCN2C(C)=O)cc1C#N)=O,TAM-UNI-d1c3dd9f-18,4,100,TAM-UNI-d1c-18,
1181202-Y4-02,B06,shipment 6 - moonshot,CC(C)C1CCCC(CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)C(CCC1)CCC1C(C)C)=O,LON-WEI-adc59df6-67,4,100,Z4459610239,
1181202-Y4-02,C06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C1CCC2(CCCC2)C1)C(=O)C=C)C=3C=CC=NC3,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)C1CC2(CCCC2)CC1)=O,LON-WEI-adc59df6-92,4,100,Z4459610270,
1181202-Y4-02,D06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C1CCC2(CCCC2)CC1)C(=O)C=C)C=3C=CC=NC3,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)C1CCC2(CCCC2)CC1)=O,LON-WEI-adc59df6-94,4,100,Z4459610272,
